,file_name,ch,strain,time,treatment,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,,,,,,,,,,,
0,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_0.npz,3,B117,2,INF,346,218,2,64,,2465,CoV-FISH-10_Vero_6h_B117_INF_R1_00022_ch4_results_cell_0.npz,4,B117,6,INF,115523192,114507,1897,60837.47232
1,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_1.npz,3,B117,2,INF,696,275,12,35.08333333,,,,,,,,,,,
2,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_2.npz,3,B117,2,INF,167,132,4,8.75,,,,,,,,,,,
3,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_3.npz,3,B117,2,INF,1561,514,24,43.625,,,,,,,,,,,
4,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_4.npz,3,B117,2,INF,307,145,5,32.4,,,,,,,,,,,
5,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_5.npz,3,B117,2,INF,250,113,4,34.25,,,,,,,,,,,
6,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_0.npz,4,B117,2,INF,145,107,1,38,,,,,,,,,,,
7,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_1.npz,4,B117,2,INF,385,231,6,25.66666667,,,,,,,,,,,
8,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_2.npz,4,B117,2,INF,116,113,1,3,,,,,,,,,,,
9,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_3.npz,4,B117,2,INF,859,452,18,22.61111111,,,,,,,,,,,
10,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_4.npz,4,B117,2,INF,222,118,4,26,,,,,,,,,,,
11,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_5.npz,4,B117,2,INF,120,103,1,17,,,,,,,,,,,
12,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_0.npz,3,B117,2,INF,335,137,7,28.28571429,,,,,,,,,,,
13,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_1.npz,3,B117,2,INF,603,276,8,40.875,,,,,,,,,,,
14,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_2.npz,3,B117,2,INF,562,311,9,27.88888889,,,,,,,,,,,
15,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_3.npz,3,B117,2,INF,183,116,2,33.5,,,,,,,,,,,
16,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_4.npz,3,B117,2,INF,579,244,11,30.45454545,,,,,,,,,,,
17,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_5.npz,3,B117,2,INF,612,229,11,34.81818182,,,,,,,,,,,
18,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_6.npz,3,B117,2,INF,450,228,5,44.4,,,,,,,,,,,
19,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_7.npz,3,B117,2,INF,321,163,4,39.5,,,,,,,,,,,
20,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_0.npz,4,B117,2,INF,82,82,0,,,,,,,,,,,,
21,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_1.npz,4,B117,2,INF,276,245,3,10.33333333,,,,,,,,,,,
22,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_2.npz,4,B117,2,INF,477,298,11,16.27272727,,,,,,,,,,,
23,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_3.npz,4,B117,2,INF,81,81,0,,,,,,,,,,,,
24,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_4.npz,4,B117,2,INF,236,204,3,10.66666667,,,,,,,,,,,
25,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_5.npz,4,B117,2,INF,278,199,6,13.16666667,,,,,,,,,,,
26,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_6.npz,4,B117,2,INF,296,204,3,30.66666667,,,,,,,,,,,
27,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_7.npz,4,B117,2,INF,154,130,1,24,,,,,,,,,,,
28,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_0.npz,3,B117,2,INF,142,73,3,23,,,,,,,,,,,
29,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_1.npz,3,B117,2,INF,85,48,1,37,,,,,,,,,,,
30,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_2.npz,3,B117,2,INF,181,133,3,16,,,,,,,,,,,
31,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_3.npz,3,B117,2,INF,221,116,4,26.25,,,,,,,,,,,
32,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_4.npz,3,B117,2,INF,238,121,4,29.25,,,,,,,,,,,
33,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_5.npz,3,B117,2,INF,415,222,9,21.44444444,,,,,,,,,,,
34,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_6.npz,3,B117,2,INF,282,174,6,18,,,,,,,,,,,
35,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_0.npz,4,B117,2,INF,54,54,0,,,,,,,,,,,,
36,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_1.npz,4,B117,2,INF,41,41,0,,,,,,,,,,,,
37,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_2.npz,4,B117,2,INF,188,118,5,14,,,,,,,,,,,
38,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_3.npz,4,B117,2,INF,143,103,2,20,,,,,,,,,,,
39,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_4.npz,4,B117,2,INF,134,103,3,10.33333333,,,,,,,,,,,
